part1, i0fa0ts, water, budget, ph1sicia0, salvador,religious, satellite, aid, missile, immigratio0, s10fuels,educatio0,superfu0d, crime, dut1_free_exports, eaa_rsa
democrat,0,,1,0,0,1,0,1,0,1,1,0,0,0,1,1
democrat,,,1,0,0,0,1,1,,0,,,,,,
democrat,1,,1,0,,,1,1,1,0,0,0,0,0,1,
democrat,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republica0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
democrat,0,,1,0,0,1,1,1,1,1,0,0,0,1,1,1
democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republica0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
republica0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,,1
republica0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
democrat,,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
democrat,0,,0,0,0,1,1,1,1,1,0,0,0,1,0,
democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
republica0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
republica0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,1,1,,1,1,1,0,0,1,0,1,,1,1,0,0
democrat,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
democrat,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republica0,1,1,0,1,1,1,0,,0,0,1,1,1,1,0,0
republica0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
democrat,0,1,1,0,0,1,0,1,1,0,1,0,,,,
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,1,1,0,,1,1,1,1,1,1,0,0,,0,
democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
democrat,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
democrat,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
republica0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
democrat,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,
democrat,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,
republica0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
republica0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
democrat,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
democrat,1,0,1,0,0,0,,1,1,,0,0,0,0,1,
republica0,0,,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,1,1,0,0,0,1,1,1,1,0,0,,0,1,1
democrat,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
democrat,1,,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republica0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
democrat,0,0,1,0,0,0,1,1,1,1,1,,0,0,1,1
democrat,,0,1,0,0,0,1,1,1,1,1,,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,,,1,0,0,0,1,1,1,,,0,0,0,,
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,1,,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,,,,,,,,,1,,,,,,,
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,,0,0,1,1
democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
republica0,1,,0,1,1,1,1,1,0,0,0,1,,1,,
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
republica0,0,,0,1,1,1,0,0,0,0,0,1,1,1,0,
republica0,0,1,0,1,1,1,0,,0,1,0,1,1,1,0,
democrat,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,0,0,1,0,0,1,1,,1,1,1,0,0,0,1,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,
democrat,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,
republica0,0,,1,1,1,1,0,0,0,1,0,0,0,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,1,0,,0,1,
democrat,1,1,0,0,0,0,1,1,,0,1,0,0,0,1,
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republica0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
republica0,1,,0,1,1,1,1,0,0,1,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,0,0,,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
republica0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,
democrat,1,1,1,0,1,1,0,0,,1,0,0,0,1,1,
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,,1,0,0,0,1,1,1,0,,0,0,0,1,
democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,
republica0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
republica0,0,1,0,1,1,1,0,0,0,1,0,,1,1,0,0
republica0,0,,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,,0,1
republica0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republica0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
democrat,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,
republica0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
democrat,1,1,1,0,0,0,1,1,,1,0,0,0,0,1,
republica0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
republica0,0,0,0,1,0,1,1,,1,0,0,1,1,1,0,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
republica0,0,0,0,0,1,1,1,0,0,0,0,,0,1,1,1
democrat,0,1,1,0,0,0,1,1,,1,0,0,1,0,1,1
democrat,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,0,0,1,0,1,0,1,1,1,0,0,0,0,1,,1
republica0,0,1,0,1,1,1,,0,0,0,0,,1,1,0,0
republica0,,,,,,,,,,,,,,,,
democrat,1,0,1,0,0,0,1,1,,0,1,0,0,0,1,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
republica0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
republica0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,,1
democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
democrat,1,0,1,0,0,,1,1,1,0,,,0,,,
democrat,1,0,1,0,0,0,1,1,1,1,0,0,,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
republica0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,1,0,,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,
republica0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,,1
republica0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
democrat,0,0,1,0,1,1,0,0,0,0,,0,1,1,0,0
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
republica0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
republica0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,
republica0,1,0,0,1,1,1,0,0,0,1,0,,1,1,0,0
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,,1
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
democrat,0,0,1,0,0,1,,1,,1,1,1,0,1,1,
democrat,1,1,1,,0,1,1,1,1,0,1,0,1,0,,1
democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,
democrat,1,0,1,0,,1,,1,1,1,0,0,1,1,0,1
democrat,1,0,1,0,0,1,1,1,1,1,0,,0,1,0,1
democrat,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
democrat,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
democrat,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,
republica0,0,1,0,1,1,1,,,0,1,0,1,,,,
republica0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
democrat,1,1,1,0,0,1,1,1,1,1,0,0,,0,1,
democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
republica0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
democrat,0,0,,0,0,1,1,1,1,0,0,0,0,0,1,1
republica0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
democrat,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republica0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
republica0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
republica0,0,1,1,1,1,1,1,,0,0,0,0,,,1,
democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
democrat,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
democrat,1,1,1,0,,1,0,,0,0,1,0,1,1,0,
democrat,1,1,1,0,1,1,0,1,,1,0,0,1,1,0,
republica0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
democrat,0,1,0,0,1,1,0,0,,0,0,1,1,1,0,1
democrat,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
democrat,1,,1,0,0,1,1,1,1,1,0,0,0,0,1,
republica0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,,1,0,0,0,1,1,1,0,0,0,0,0,1,
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,,0,1,1,0,0,1,1
republica0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,
democrat,0,0,1,0,0,1,1,1,0,0,1,0,0,1,,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
republica0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
republica0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
democrat,0,,1,,0,1,1,1,1,1,1,0,,,1,1
democrat,0,1,1,0,1,,1,0,0,1,1,0,1,0,1,1
republica0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
republica0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
republica0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republica0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,
republica0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
democrat,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
republica0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
democrat,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,
republica0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
democrat,0,1,1,0,0,1,1,1,1,1,0,,0,0,1,1
republica0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,
republica0,0,0,0,1,1,1,0,0,0,1,,1,1,1,0,1
democrat,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
democrat,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,
democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
republica0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
republica0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
democrat,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
democrat,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,
democrat,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,
democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
republica0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
democrat,1,1,1,0,,1,1,1,0,1,,,0,0,1,1
democrat,1,1,1,0,,0,1,1,1,1,0,0,0,0,1,
democrat,0,1,1,1,1,1,0,0,0,0,1,1,,1,0,0
democrat,0,1,1,,1,1,0,1,0,1,,0,1,1,,1
republica0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
democrat,1,,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republica0,0,1,0,1,1,1,,,0,0,,,1,,,
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republica0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,1,,1,1,0,1,0,1,0,1,1
democrat,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,
democrat,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,
democrat,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
democrat,0,,1,0,1,1,0,1,0,0,1,0,0,0,0,
democrat,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,
democrat,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,
democrat,1,0,1,0,0,0,1,1,1,,1,0,0,0,1,
democrat,,,0,0,,1,,0,0,0,1,1,0,1,0,
democrat,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
republica0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
republica0,,,,,0,1,0,1,1,0,0,1,1,0,0,
